Circuit,Model,Sigma,Snap_pct,Snap_lap,Flip_rate,Mean_time_delta_s,Baseline_rec,Baseline_delta_s
Monaco Grand Prix,XGBoost,0.2,0.25,19,0.0,4.7595,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,0.2,0.35,27,0.0,5.6784,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,0.2,0.45,35,0.0,8.0594,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,0.2,0.55,42,0.0,8.6003,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,0.2,0.65,50,0.0,11.9677,Stay Out,12.531499862670898
Monaco Grand Prix,XGBoost,0.3,0.25,19,0.0333,4.7356,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,0.3,0.35,27,0.0667,6.2372,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,0.3,0.45,35,0.0,7.2733,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,0.3,0.55,42,0.0,8.2,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,0.3,0.65,50,0.0,12.0277,Stay Out,12.531499862670898
Monaco Grand Prix,XGBoost,0.5,0.25,19,0.1333,5.9024,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,0.5,0.35,27,0.0333,4.6568,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,0.5,0.45,35,0.0333,6.9335,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,0.5,0.55,42,0.0,9.5771,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,0.5,0.65,50,0.0,9.2648,Stay Out,12.531499862670898
Monaco Grand Prix,XGBoost,0.75,0.25,19,0.4667,5.9331,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,0.75,0.35,27,0.3333,6.0291,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,0.75,0.45,35,0.3,6.0028,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,0.75,0.55,42,0.1333,7.3617,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,0.75,0.65,50,0.0333,11.3423,Stay Out,12.531499862670898
Monaco Grand Prix,XGBoost,1.0,0.25,19,0.4333,4.6938,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,1.0,0.35,27,0.3,7.1363,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,1.0,0.45,35,0.4,6.8561,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,1.0,0.55,42,0.2,5.2582,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,1.0,0.65,50,0.0333,10.5285,Stay Out,12.531499862670898
Monaco Grand Prix,XGBoost,1.5,0.25,19,0.4667,9.6518,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,1.5,0.35,27,0.6333,7.7294,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,1.5,0.45,35,0.4333,7.4171,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,1.5,0.55,42,0.4667,6.1551,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,1.5,0.65,50,0.2,10.1415,Stay Out,12.531499862670898
Monaco Grand Prix,XGBoost,2.0,0.25,19,0.7333,13.0614,Stay Out,5.357900142669678
Monaco Grand Prix,XGBoost,2.0,0.35,27,0.5,10.4145,Stay Out,6.63700008392334
Monaco Grand Prix,XGBoost,2.0,0.45,35,0.5667,10.4435,Stay Out,8.291299819946289
Monaco Grand Prix,XGBoost,2.0,0.55,42,0.6,8.0838,Stay Out,9.121100425720215
Monaco Grand Prix,XGBoost,2.0,0.65,50,0.3333,11.31,Stay Out,12.531499862670898
Hungarian Grand Prix,Linear Regression,0.0,0.25,17,0.0,21.7874,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,0.0,0.35,24,0.0,10.6795,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,0.0,0.45,31,0.0,2.45,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,0.0,0.55,38,0.0,2.6427,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,0.0,0.65,45,0.0,7.5188,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,0.1,0.25,17,0.0,21.5775,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,0.1,0.35,24,0.0,10.7517,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,0.1,0.45,31,0.0,2.6214,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,0.1,0.55,38,0.0,2.5184,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,0.1,0.65,45,0.0,7.5818,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,0.2,0.25,17,0.0,22.0001,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,0.2,0.35,24,0.0,10.5633,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,0.2,0.45,31,0.0667,2.7177,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,0.2,0.55,38,0.0667,2.2954,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,0.2,0.65,45,0.0,7.5464,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,0.3,0.25,17,0.0,22.0815,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,0.3,0.35,24,0.0,10.7024,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,0.3,0.45,31,0.1333,3.0191,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,0.3,0.55,38,0.1,2.6668,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,0.3,0.65,45,0.0,7.7608,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,0.5,0.25,17,0.0,20.7276,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,0.5,0.35,24,0.0,9.5047,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,0.5,0.45,31,0.3333,4.0904,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,0.5,0.55,38,0.3333,3.3129,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,0.5,0.65,45,0.0333,8.0996,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,0.75,0.25,17,0.0,21.1566,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,0.75,0.35,24,0.0667,9.027,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,0.75,0.45,31,0.4333,4.58,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,0.75,0.55,38,0.6333,3.0101,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,0.75,0.65,45,0.1,6.6131,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,1.0,0.25,17,0.0,19.4025,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,1.0,0.35,24,0.2667,9.2194,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,1.0,0.45,31,0.3667,6.0131,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,1.0,0.55,38,0.3667,4.593,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,1.0,0.65,45,0.2,7.2795,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,1.5,0.25,17,0.1333,17.3264,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,1.5,0.35,24,0.4333,10.5054,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,1.5,0.45,31,0.5667,7.687,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,1.5,0.55,38,0.6333,5.4006,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,1.5,0.65,45,0.2667,7.7443,Stay Out,7.5188
Hungarian Grand Prix,Linear Regression,2.0,0.25,17,0.1333,19.2501,2-Stop,21.7874
Hungarian Grand Prix,Linear Regression,2.0,0.35,24,0.3333,17.1398,2-Stop,10.6795
Hungarian Grand Prix,Linear Regression,2.0,0.45,31,0.5667,7.4734,2-Stop,2.45
Hungarian Grand Prix,Linear Regression,2.0,0.55,38,0.6,8.6264,Early 1-Stop,2.6427
Hungarian Grand Prix,Linear Regression,2.0,0.65,45,0.5333,9.1586,Stay Out,7.5188
Hungarian Grand Prix,Ridge Regression,0.0,0.25,17,0.0,21.7465,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,0.0,0.35,24,0.0,10.6445,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,0.0,0.45,31,0.0,2.4195,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,0.0,0.55,38,0.0,2.7248,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,0.0,0.65,45,0.0,7.4565,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,0.1,0.25,17,0.0,21.886,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,0.1,0.35,24,0.0,10.499,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,0.1,0.45,31,0.0,2.6106,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,0.1,0.55,38,0.0,2.3912,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,0.1,0.65,45,0.0,7.3983,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,0.2,0.25,17,0.0,22.0188,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,0.2,0.35,24,0.0,10.5006,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,0.2,0.45,31,0.0667,2.5193,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,0.2,0.55,38,0.0,2.5927,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,0.2,0.65,45,0.0,7.0675,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,0.3,0.25,17,0.0,21.7142,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,0.3,0.35,24,0.0,9.7708,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,0.3,0.45,31,0.2333,2.5907,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,0.3,0.55,38,0.1,1.9371,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,0.3,0.65,45,0.0,6.9852,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,0.5,0.25,17,0.0,21.7663,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,0.5,0.35,24,0.0,10.1743,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,0.5,0.45,31,0.2667,2.686,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,0.5,0.55,38,0.2,2.7895,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,0.5,0.65,45,0.0333,6.3393,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,0.75,0.25,17,0.0,22.2821,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,0.75,0.35,24,0.1,8.4325,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,0.75,0.45,31,0.5,3.581,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,0.75,0.55,38,0.4333,3.2687,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,0.75,0.65,45,0.0667,8.1203,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,1.0,0.25,17,0.0333,21.9017,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,1.0,0.35,24,0.1333,8.9502,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,1.0,0.45,31,0.4,7.8919,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,1.0,0.55,38,0.7,4.0548,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,1.0,0.65,45,0.1,6.7137,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,1.5,0.25,17,0.1,15.8459,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,1.5,0.35,24,0.3,11.2555,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,1.5,0.45,31,0.4667,8.224,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,1.5,0.55,38,0.6333,7.2429,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,1.5,0.65,45,0.4333,6.3233,Stay Out,7.4565
Hungarian Grand Prix,Ridge Regression,2.0,0.25,17,0.3333,16.6564,2-Stop,21.7465
Hungarian Grand Prix,Ridge Regression,2.0,0.35,24,0.5,10.4825,2-Stop,10.6445
Hungarian Grand Prix,Ridge Regression,2.0,0.45,31,0.6667,7.8197,2-Stop,2.4195
Hungarian Grand Prix,Ridge Regression,2.0,0.55,38,0.6,8.6565,Early 1-Stop,2.7248
Hungarian Grand Prix,Ridge Regression,2.0,0.65,45,0.3667,7.6858,Stay Out,7.4565
Hungarian Grand Prix,Gradient Boosting,0.0,0.25,17,0.0,0.1059,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,0.0,0.35,24,0.0,1.1685,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,0.0,0.45,31,0.0,0.8514,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,0.0,0.55,38,0.0,1.0594,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,0.0,0.65,45,0.0,4.8528,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,0.1,0.25,17,0.3333,0.69,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,0.1,0.35,24,0.2333,0.9903,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,0.1,0.45,31,0.3333,0.8866,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,0.1,0.55,38,0.0667,1.0703,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,0.1,0.65,45,0.0,4.5744,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,0.2,0.25,17,0.3333,1.4238,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,0.2,0.35,24,0.2333,1.5299,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,0.2,0.45,31,0.3,1.707,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,0.2,0.55,38,0.2,1.2854,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,0.2,0.65,45,0.0,4.6015,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,0.3,0.25,17,0.4333,2.6058,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,0.3,0.35,24,0.5333,1.7544,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,0.3,0.45,31,0.5333,1.6898,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,0.3,0.55,38,0.4667,1.7964,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,0.3,0.65,45,0.0,4.3956,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,0.5,0.25,17,0.4667,3.7539,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,0.5,0.35,24,0.5,2.7833,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,0.5,0.45,31,0.6,2.1845,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,0.5,0.55,38,0.6,1.7749,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,0.5,0.65,45,0.1667,4.6215,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,0.75,0.25,17,0.5333,4.7744,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,0.75,0.35,24,0.7,4.1773,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,0.75,0.45,31,0.6,4.6714,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,0.75,0.55,38,0.6,3.5652,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,0.75,0.65,45,0.3,4.6724,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,1.0,0.25,17,0.5667,5.8198,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,1.0,0.35,24,0.6333,6.8663,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,1.0,0.45,31,0.4667,4.6973,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,1.0,0.55,38,0.6667,3.5118,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,1.0,0.65,45,0.4,4.9353,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,1.5,0.25,17,0.6667,8.8988,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,1.5,0.35,24,0.7,8.3137,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,1.5,0.45,31,0.5,7.7429,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,1.5,0.55,38,0.6333,6.8026,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,1.5,0.65,45,0.4333,5.1513,Stay Out,4.8528
Hungarian Grand Prix,Gradient Boosting,2.0,0.25,17,0.6667,13.2008,Early 1-Stop,0.1059
Hungarian Grand Prix,Gradient Boosting,2.0,0.35,24,0.6333,11.5051,Late 1-Stop,1.1685
Hungarian Grand Prix,Gradient Boosting,2.0,0.45,31,0.7333,11.481,Mid 1-Stop,0.8514
Hungarian Grand Prix,Gradient Boosting,2.0,0.55,38,0.5667,5.9444,Stay Out,1.0594
Hungarian Grand Prix,Gradient Boosting,2.0,0.65,45,0.4333,9.0239,Stay Out,4.8528
Hungarian Grand Prix,XGBoost,0.0,0.25,17,0.0,1.356,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,0.0,0.35,24,0.0,2.0728,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,0.0,0.45,31,0.0,0.9182,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,0.0,0.55,38,0.0,1.5164,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,0.0,0.65,45,0.0,2.9121,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,0.1,0.25,17,0.1,1.637,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,0.1,0.35,24,0.0333,2.1926,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,0.1,0.45,31,0.0667,1.3218,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,0.1,0.55,38,0.0333,1.7406,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,0.1,0.65,45,0.0,2.9666,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,0.2,0.25,17,0.3,1.8446,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,0.2,0.35,24,0.2,2.2582,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,0.2,0.45,31,0.4,1.5209,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,0.2,0.55,38,0.1667,1.5629,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,0.2,0.65,45,0.0,3.0681,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,0.3,0.25,17,0.4,2.5223,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,0.3,0.35,24,0.2,2.8341,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,0.3,0.45,31,0.4,2.1166,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,0.3,0.55,38,0.3,1.151,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,0.3,0.65,45,0.1,2.6908,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,0.5,0.25,17,0.4667,2.7385,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,0.5,0.35,24,0.4333,3.2272,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,0.5,0.45,31,0.5,2.7686,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,0.5,0.55,38,0.6,2.7121,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,0.5,0.65,45,0.2667,3.3458,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,0.75,0.25,17,0.3667,4.6303,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,0.75,0.35,24,0.5333,3.328,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,0.75,0.45,31,0.5667,4.539,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,0.75,0.55,38,0.4667,2.6011,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,0.75,0.65,45,0.4333,3.1207,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,1.0,0.25,17,0.5667,5.6254,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,1.0,0.35,24,0.5333,4.8752,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,1.0,0.45,31,0.8,4.0999,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,1.0,0.55,38,0.5667,5.1568,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,1.0,0.65,45,0.4667,3.9435,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,1.5,0.25,17,0.6667,6.9713,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,1.5,0.35,24,0.8333,9.0236,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,1.5,0.45,31,0.7667,7.1218,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,1.5,0.55,38,0.7,4.6578,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,1.5,0.65,45,0.5,6.886,Stay Out,2.912100076675415
Hungarian Grand Prix,XGBoost,2.0,0.25,17,0.7,12.2752,Late 1-Stop,1.3559999465942383
Hungarian Grand Prix,XGBoost,2.0,0.35,24,0.7,10.8639,Late 1-Stop,2.0727999210357666
Hungarian Grand Prix,XGBoost,2.0,0.45,31,0.6667,10.225,Mid 1-Stop,0.9182000160217285
Hungarian Grand Prix,XGBoost,2.0,0.55,38,0.6667,6.8346,Stay Out,1.5163999795913696
Hungarian Grand Prix,XGBoost,2.0,0.65,45,0.5333,5.7468,Stay Out,2.912100076675415
